genus,higher_taxon
Schellwienella,Brachiopod
Pseudosyrinx,Brachiopod
Athyris,Brachiopod
Voiseyella,Brachiopod
Marginatia,Brachiopod
Rhynchopora,Brachiopod
Buxtonia,Brachiopod
Trigonoglossa,Brachiopod
Heteralosia,Brachiopod
Setigerites,Brachiopod
Protoniella,Brachiopod
Flexaria,Brachiopod
Marginirugus,Brachiopod
Ovatia,Brachiopod
Subglobosochonetes,Brachiopod
Tylothyris,Brachiopod
Orthotetes keokuk,Brachiopod
Leiorhynchoidea,Brachiopod
Quadratia,Brachiopod
Pustula,Brachiopod
Perditocardinia,Brachiopod
Martinia,Brachiopod
Moorefieldella,Brachiopod
Productina,Brachiopod
Athyrisina,Brachiopod
Hebertella occidentalis,Brachiopod
Strophomena planumbona,Brachiopod
Rafinesquina alternata,Brachiopod
Anazyga recurvirostra,Brachiopod
Campylorthis deflecta,Brachiopod
Oepikina minnesotensis,Brachiopod
Strophomena plattinensis,Brachiopod
Rhysostrophia,Brachiopod
Doloresella,Brachiopod
Plaesiomys iphigenia,Brachiopod
Trematis terminalis,Brachiopod
Diaphragmus,Brachiopod
Girtyella,Brachiopod
Rugoclostus,Brachiopod
Cranaena,Brachiopod
Striatifera,Brachiopod
Fluctuaria,Brachiopod
Dorsoscyphus,Brachiopod
Semicostella,Brachiopod
Eomarginifera,Brachiopod
Unispirifer,Brachiopod
Spinuliplica,Brachiopod
Kitakamithyris,Brachiopod
Orthotichia,Brachiopod
Karavankina,Brachiopod
Verneuilia,Brachiopod
Tyersella,Brachiopod
Protocortezorthis,Brachiopod
Lepidoleptaena,Brachiopod
Iridistrophia,Brachiopod
Aesopomum,Brachiopod
Leptostrophia,Brachiopod
Mesodouvillina,Brachiopod
Ancillotoechia,Brachiopod
Hebetoechia,Brachiopod
Eoglossinotoechia,Brachiopod
Spirigerina,Brachiopod
Glassia,Brachiopod
Spinatrypina,Brachiopod
Meristella,Brachiopod
Megakozlowskiella,Brachiopod
Undispirifer,Brachiopod
Metaplasia,Brachiopod
Rensselaeria,Brachiopod
Levenea,Brachiopod
Streptorhynchus,Brachiopod
Machaeraria,Brachiopod
Vagrania,Brachiopod
Spirinella,Brachiopod
Quadrithyris,Brachiopod
Ambocoelia,Brachiopod
Kozlowskiellina,Brachiopod
Dawsonelloides,Brachiopod
Acrospirifer murchisoni,Brachiopod
Beachia,Brachiopod
Leptocoelia,Brachiopod
Discomyorthis musculosa,Brachiopod
Plicoplasia,Brachiopod
Pleiopleurina,Brachiopod
Costispirifer,Brachiopod
Eatonia,Brachiopod
Megastrophia,Brachiopod
Acrospirifer,Brachiopod
Discomyorthis,Brachiopod
Costellirostra,Brachiopod
Hipparionix,Brachiopod
Centronella,Brachiopod
Cupularostrum,Brachiopod
