genus,higher_taxon
Eopleurotoma gemmavia,Gastropod
Eopleurotoma,Gastropod
Eosurcula moorei,Gastropod
Protosurcula gabbii,Gastropod
Haustator carinata,Gastropod
Sinum,Gastropod
Hexaplex (Hexaplex) colei,Gastropod
Agaronia bombylis,Gastropod
Architectonica meekana,Gastropod
Terebrifusus multiplicatus,Gastropod
Rhizorus,Gastropod
Planorbis,Gastropod
Solariella louisiana,Gastropod
Xenophora,Gastropod
Conomitra texana,Gastropod
Rhizorus loisae,Gastropod
Distorsio septendentata,Gastropod
Mesalia claibornensis,Gastropod
Hesperiturris nodocarinatus,Gastropod
Latirus moorei,Gastropod
Trigonostoma panones,Gastropod
Microdrillia harrisi,Gastropod
Terebra texagyra,Gastropod
Architectonica amoena,Gastropod
Awateria retifera,Gastropod
Architectonica (Stellaxis) alveatum,Gastropod
Natica (Naticarius) semilunata,Gastropod
Athleta clayi,Gastropod
Pseudomelania,Gastropod
Amberleya,Gastropod
Sulcoactaeon,Gastropod
Brachytrema,Gastropod
Angaria,Gastropod
Purpurina,Gastropod
Pseudorhytidopilus,Gastropod
Leptomaria,Gastropod
Neritopsis,Gastropod
Ampullina,Gastropod
Biplica obliqua,Gastropod
Bittiscala,Gastropod
Euspira,Gastropod
Gyrodes (Sohlella) canadensis,Gastropod
Lispodesthes,Gastropod
Nonactaeonina,Gastropod
Ellipsoscapha,Gastropod
Opalia,Gastropod
Terebralia,Gastropod
Eripachya,Gastropod
Nerita,Gastropod
Bullamirifica ainiktos,Gastropod
Piestochilus,Gastropod
Pentzia hilgardi,Gastropod
Volutoderma averilli,Gastropod
Volutoderma,Gastropod
Volutoderma magna,Gastropod
Lysis duplicosta,Gastropod
Anchura,Gastropod
Lysis suciensis,Gastropod
Acteon,Gastropod
Serrifusus,Gastropod
Drepanocheilus,Gastropod
Graphidula,Gastropod
Bullopsis cretacea,Gastropod
Astandes,Gastropod
Vanikoropsis,Gastropod
Oligoptycha,Gastropod
Anisomyon patelliformis,Gastropod
Aporrhais,Gastropod
Atira,Gastropod
Cryptorhytis,Gastropod
Anisomyon centrale,Gastropod
Anisomyon,Gastropod
Anomalofusus,Gastropod
Anisomyon borealis,Gastropod
Trachytriton,Gastropod
Trajanella,Gastropod
Biplica isoplicata,Gastropod
Arrhoges,Gastropod
Tornatellaea,Gastropod
Paleopsephaea,Gastropod
Tessarolax,Gastropod
Cylichna,Gastropod
Solariella,Gastropod
Clinura,Gastropod
Cantharus,Gastropod
Gyrodes greeni,Gastropod
Gyrodes,Gastropod
Biplica michaeli,Gastropod
Chartroniella,Gastropod
Pseudomelania (Oonia),Gastropod
Harpagodes,Gastropod
Cossmannea,Gastropod
Nerinea,Gastropod
Diozoptyxis,Gastropod
Acteonella,Gastropod
Cirsochilus,Gastropod
Neritoma,Gastropod
Tectus (Tectus),Gastropod
Agathodonta,Gastropod
Neridomus,Gastropod
Otostoma,Gastropod
Semineritina,Gastropod
Omalaxis,Gastropod
Procerithium,Gastropod
Cimolithium,Gastropod
Pyrazus,Gastropod
Echinobathra,Gastropod
Aptyxiella,Gastropod
Natica,Gastropod
Tylostoma allisoni,Gastropod
Liocarenus,Gastropod
Tectus,Gastropod
Angaria (Angaria),Gastropod
Keilostoma,Gastropod
Cerithium,Gastropod
Cerithiopsis,Gastropod
Tylostoma,Gastropod
Calliostoma (Calliostoma),Gastropod
Eucycloscala,Gastropod
Microschiza (Cloughtonia),Gastropod
Mesalia,Gastropod
Turritella seriatimgranulata,Gastropod
Cassiope (Cassiope),Gastropod
Cassiope,Gastropod
Metacerithium,Gastropod
Cerithiella (Cerithiella),Gastropod
Amaea,Gastropod
Opalia (Crassiscala),Gastropod
Pseudonerinea,Gastropod
Natica (Amauropsis) japonica,Gastropod
Euthriofusus,Gastropod
Turritella belviderei,Gastropod
Calliomphalus,Gastropod
Epitonium,Gastropod
Rostellaria (Fusus),Gastropod
Turritella kansasensis,Gastropod
Gegania,Gastropod
Pirsila,Gastropod
Mathilda,Gastropod
Vermetus,Gastropod
Harpagodes americanus,Gastropod
Harpagodes mexicanus,Gastropod
Natica neptuni,Gastropod
Natica hugardiana,Gastropod
Tylostoma laharpi,Gastropod
Vermetus cornejoi,Gastropod
Trochus,Gastropod
Turbo gigas,Gastropod
Lunulazona springeri,Gastropod
Palaeocapulus equilateralis,Gastropod
Palaeocapulus acutirostre,Gastropod
Agaronia,Gastropod
Coronia genitiva,Gastropod
Levifusus,Gastropod
Bonellitia,Gastropod
Cerithiella,Gastropod
Cerithioderma primum,Gastropod
Rimella,Gastropod
Lyrosurcula,Gastropod
Norrisia,Gastropod
Pyramidella,Gastropod
Siphonalia,Gastropod
Trigonostoma gemmatum,Gastropod
Coronia childreni,Gastropod
Cyclostremiscus,Gastropod
Eulima extremis,Gastropod
Glyptotoma crassiplicata,Gastropod
Hastula,Gastropod
Pyramimitra terebraeformis,Gastropod
Skenea pignus,Gastropod
Trigonostoma babylonicum,Gastropod
Trigonostoma,Gastropod
Tripia,Gastropod
Trypanotoma,Gastropod
Cochlespirella,Gastropod
Caricella pyruloides,Gastropod
Eosurcula,Gastropod
Glyptotoma,Gastropod
Lacinia alveata,Gastropod
Penion bellus,Gastropod
Architectonica (Stellaxis) elaborata,Gastropod
Columbellopsis,Gastropod
Murex,Gastropod
Hexaplex (Hexaplex) vanuxemi,Gastropod
Cirsotrema,Gastropod
Sinum declive,Gastropod
Bayania,Gastropod
Conomitra,Gastropod
Conus smithvillensis,Gastropod
Coptostoma,Gastropod
Cordieria,Gastropod
Daphnella,Gastropod
Mitrella,Gastropod
Papillina,Gastropod
Surculoma,Gastropod
Tropisurcula,Gastropod
Tubiola,Gastropod
Balcis,Gastropod
Bolis,Gastropod
Diodora,Gastropod
Latirus,Gastropod
Murexiella (Murexiella) mantelli,Gastropod
Vitrinella,Gastropod
Trypanotopsis,Gastropod
Pseudomalaxis,Gastropod
Scalina,Gastropod
Hastula venusta,Gastropod
Lapparia,Gastropod
Raphitoma,Gastropod
Marginella,Gastropod
Abderospira meyeri,Gastropod
Buccitriton sagenum,Gastropod
Phalium,Gastropod
Ringicula,Gastropod
Clavilithes,Gastropod
Abderospira aldrichi,Gastropod
Agaronia alabamensis,Gastropod
Prunum (Microspira),Gastropod
Scobinella newtonensis,Gastropod
Falsifusus,Gastropod
Fusoficula,Gastropod
Tornus,Gastropod
Eopleurotoma sayi,Gastropod
Lyrischapa harrisi,Gastropod
Umbraculum,Gastropod
Lirofusus,Gastropod
Sveltella,Gastropod
Hexaplex (Hexaplex) engonatus,Gastropod
Eodrilla,Gastropod
Siphonochelus (Laevityphis) gracilis,Gastropod
Transovula (Oxycypraea) symmetrica,Gastropod
Turricula,Gastropod
Scobinella,Gastropod
Anematina proutana,Gastropod
Bulimorpha bulimiformis,Gastropod
Bulimorpha elongata,Gastropod
Rhineoderma wortheni,Gastropod
Straparollus spergenensis,Gastropod
Gosseletina subglobosa,Gastropod
Amaurotoma leavenworthana,Gastropod
Mesalia alabamiensis,Gastropod
Orthosurcula,Gastropod
Pseudoliva,Gastropod
Euconospira conula,Gastropod
Turritella humerosa,Gastropod
Kapalmerella mortoni,Gastropod
Campanile,Gastropod
Scaphella,Gastropod
Laevibuccinum,Gastropod
Lacunaria,Gastropod
Athleta (Volutocorbis),Gastropod
Strepsidura,Gastropod
Pseudolatirus tortilis,Gastropod
Exilia,Gastropod
Toulminella alabamensis,Gastropod
Clavilithes hubbardanus,Gastropod
Eupleura,Gastropod
Fulgurofusus,Gastropod
Pleurotomella,Gastropod
Polinices eminulus,Gastropod
Priscoficus,Gastropod
Ranella,Gastropod
Levifusus pagodiformis,Gastropod
Perissolax,Gastropod
Sceptrum,Gastropod
Holopea rossbrookiensis,Gastropod
Perissoptera,Gastropod
Eulima,Gastropod
Eunaticina,Gastropod
Bellifusus,Gastropod
Calyptraphorus jacksoni,Gastropod
Cythara,Gastropod
Euspira halli,Gastropod
Lunatia,Gastropod
Odontofusus,Gastropod
Pyropsis,Gastropod
Tibia,Gastropod
Tenagodus,Gastropod
Tornatellaea bella,Gastropod
Turritella vertebroides,Gastropod
